name,hasAnnotation,hasSentence,Example.Construction,label,comment
Example_4720,['enormous cost'],"[""Raising membership dues or finding new sponsors won't put a dent in the enormous cost difference"", 'Duggan said.']",['Adjective(S) Noun(T)'],['Raising membership dues or finding...'],
Example_5363,['time has long since passed'],"['The time has long since passed to get to “yes” on healthcare', 'and infrastructure investment.', 'tax reform']",['Subject(T) Verb(S)'],['The time has long since passed...'],
Example_948,['Getting older'],"['Getting older has been described as ""not for the faint of heart.""']",['Verb(S) Direct Object(T)'],['Getting older has been described...'],
Example_5541,,"[""you know I've been feeling down for quite some time ... let Blue Monday be a representative signal of the fact that any day is the day to get help"", '"" she said.', 'If your intuition is telling you']",,"['If your intuition is telling you,...']",
Example_5155,,"['meaning many residents can now return home', 'Crews bring White Rock Lake wildfire under control']",,['Crews bring White Rock Lake wildfire...'],
Example_3876,,['He wants to go straight so that he can be with his daughter Cassie'],,['He wants to go straight so that...'],
Example_4360,['pure joy'],"[""From homeless to housed: one woman finds 'pure joy' in her new apartment""]",['Adjective(S) Noun(T)'],['From homeless to housed: one woman...'],
Example_3931,"[""brick and mortar of our nation's developing infrastructure""]","[""They represent the brick and mortar of our nation's developing infrastructure.""]",['Noun(S) of Noun(T)'],['They represent the brick and mortar...'],
Example_3230,['further up the totem pole'],"['Further up the totem pole', ""a handler can manage a candidate's interactions with the media or give advice on the direction the campaign ought to take.""]",['Adjective(S) Noun(T)'],"['Further up the totem pole, a handler...']",['No S/T domain']
Example_3162,['raise the salary'],"['the proposed increase will raise the salary of the average minimum wage earner', 'According to Bouchet']",['Verb(S) Direct Object(T)'],"['According to Bouchet, the proposed...']",
Example_915,['muzzle the press'],['The government should not muzzle the press.'],['Verb(S) Direct Object(T)'],['The government should not muzzle...'],
Example_5562,['book contains'],"['” George Prochnik writes in his review', ""Almost every essay in this book contains 'pearls' of Arendt's tonically subversive thinking""]",['Subject(T) Verb(S)'],['Almost every essay in this book...'],
Example_1155,,"['spelled it out clearly for reporters on Monday.', ""Trump's budget director"", 'Mick Mulvaney']",,"[""Mick Mulvaney, Trump's budget director,...""]",['spelled it out']
Example_1569,,"['executed with ""wholly inadequate"" planning and ended ""a long way from success.""', ""Former British PM Tony Blair both apologized and defended his actions on Wednesday in the wake of a damning report from the country's inquiry into the war in Iraq that said the conflict was mounted on flawed intelligence""]",,['Former British PM Tony Blair both...'],['a long way from success']
Example_18,,"[""I see what you're saying.""]",,"[""I see what you're saying.""]",
Example_4136,,['Author and meditation teacher Jon Kabat-Zinn shares the value of staying in the here and now and making peace with paying attention.'],,['Author and meditation teacher Jon...'],['the here and now']
Example_974,['get a happy glow'],"[""Science Says Gifting Is Good For You. That's why you get a happy glow after sending someone a gift!""]",['Verb(S) Direct Object(T)'],['Science Says Gifting Is Good For...'],
Example_482,['constructing arithmetic sequences'],['Constructing Arithmetic Sequences'],['Verb(S) Direct Object(T)'],['Constructing Arithmetic Sequen...'],
Example_3445,,"['Aug 25', '2010 – And so', 'two of the main pillars of our democracy—a free press and the courts—will be assailed at the same time.']",,"['Aug 25, 2010 – And so, two of the...']",
Example_592,['moving people out of poverty'],"['is possible', '“There might be questions of whether the poverty line was set too low or not … (but) I think for the rest of the world the key message is that ending poverty', 'moving people out of poverty', '” Marchisio said.']",['Verb(S) preposition Noun(T)'],['“There might be questions of whether...'],
Example_1961,['economy off a cliff'],"[""But that's not the point - we have pushed the economy off a cliff to save lives and we don't know what's going to happen.""]",['Noun(T) copula preposition Noun(S)'],"[""But that's not the point - we have...""]",
Example_5203,['taxaction forces'],['Taxation Forces Lord Lytton To Close His Tudor Castle'],['Subject(T) Verb(S)'],['Taxation Forces Lord Lytton To...'],
Example_3855,,['...but you must obey God the Father'],,['...but you must obey God the F...'],['obey God the Father']
Example_1955,['bursting with excitement'],"[""crashed past H&M's lone security guard and made a mad dash straight to the racks\xa0"", 'When the doors opened', '\xa0bursting with excitement', 'the crowd']",['Verb(S) preposition Noun(T)'],"['When the doors opened, the crowd,\xa0bursting...']",
Example_306,,"[""Burns predicts this year's first-year teachers will pave the way for innovation in education.""]",,"[""Burns predicts this year's first-year...""]",['pave the way for innovation in education']
Example_153,['moving towards a goal'],"['the characters in the film are always moving towards a goal that fate has chosen for them.', 'Like great', 'primal figures hi an Orozco work']",['Verb(S) preposition Noun(T)'],"['Like great, primal figures hi an...']",
Example_2383,"[""nation's credit cards""]","['not even the minimum balance', 'and he has no plan now to pay the bills', 'In effect', ""he went on a spending spree with the nation's credit cards""]","[""Noun's(T) Noun(S)""]","['In effect, he went on a spending...']",
Example_715,['authoritarian bureaucrats'],"['Hence', 'power to make the necessary changes is delegated to authoritarian bureaucrats and central bankers who understand their job is to destroy the value of the government debt by inflating the currency through the printing press.']",['Adjective(S) Noun(T)'],"['Hence, power to make the necessary...']",
Example_3884,,['Natural law or natural moral order derives from on the one hand a) religious precepts of common understandings of justice and the belief that moral behavior'],['Adjective(S) Noun(T)'],['Natural law or natural moral order...'],['natural moral order']
Example_3364,['burning jealousy'],"['Year after year', 'I watched with burning jealousy as my brothers hauled in their big gifts.']",['Adjective(S) Noun(T)'],"['Year after year, I watched with...']",
Example_3363,['smoldering envy'],"['In mid- August', 'he found a way to leave the Omo project—and as a consequence garnered lasting international fame and the smoldering envy of his former associates.']",['Adjective(S) Noun(T)'],"['In mid- August, he found a way...']",
Example_966,['fall ill'],['Dozens fall ill after eating oysters in Tofino'],['Verb(S) Direct Object(T)'],['Dozens fall ill after eating oysters...'],
Example_1358,,"['"" Morris said.', '""America is the child of the Enlightenment']",['Noun(T) copula Noun(S)'],"['""America is the child of the Enlightenment,""...']",['America is the child']
Example_4514,['trapped by poverty'],"['...that focus on marginalized', 'working class characters trapped by poverty and circumstance', 'but occasionally within spitting distance of something that can only be described as grace.']",['Passive-Verb(S) by Noun(T)'],"['...that focus on marginalized,...']",
Example_617,['high spirits'],['A weekend of high spirits.'],['Adjective(S) Noun(T)'],['A weekend of high spirits.'],
Example_4854,['rights belong to'],['Human rights belong to all British Columbians.'],['Subject(T) Verb(S)'],['Human rights belong to all British...'],
Example_994,['rights can crumble'],['That our rights can crumble on the flimsiest of excuses'],['Subject(T) Verb(S)'],['That our rights can crumble on...'],
Example_1793,['education is the foundation'],"['public safety and so much more depend on raising educated citizens.', 'Education is the foundation of much of our society -- the economy', 'arts and sciences']",['Noun(T) copula Noun(S)'],['Education is the foundation of...'],
Example_322,['reroute the bill'],['Bryan Terry (R-Murfreesboro) plans to reroute the bill...'],['Verb(S) Direct Object(T)'],['Bryan Terry (R-Murfreesboro) plans...'],
Example_2770,,['gun control sickness'],,['gun control sickness'],
Example_1932,['have courage'],['Do they\xa0have courage\xa0to come to terms with the systems and structures that allowed such widespread atrocities?'],['Verb(S) Direct Object(T)'],['Do they\xa0have courage\xa0to come to...'],
Example_5063,,['Our society is turning gangrene with dishonesty.'],,['Our society is turning gangrene...'],
Example_924,,"['As our plans firmed up', 'I went into my default mode (compulsive list-making)', 'under the influence of both excitement and fear.']",,"['As our plans firmed up, I went...']",
Example_1333,"[""'cancer' of corruption""]","['Hugo Chavez is inaugurated as President of Venezuela', ""and promises peaceful revolution to remove 'cancer' of corruption""]",['Noun(S) of Noun(T)'],['Hugo Chavez is inaugurated as President...'],
Example_3492,['acquired knowledge'],"['experience and insight.', 'when done well', 'perspective', 'both teacher and student come away having acquired knowledge', 'This career is very special because']",['Verb(S) Direct Object(T)'],"['This career is very special because,...']",
Example_3576,,"[""A one-of-a-kind experience': Growing up Black and Indigenous in Saskatchewan.""]",,"[""A one-of-a-kind experience': Growing...""]",['growing up black and indigenous']
Example_4836,['weight of responsibility'],['A Dene woman from the Fort Nelson First Nation in northern B.C. is feeling the weight of responsibility as she prepares to travel to the Vatican to represent intergenerational survivors in an audience with the Pope.'],['Noun(S) of Noun(T)'],['A Dene woman from the Fort Nelson...'],
Example_493,['volume of cases'],['Fauci said the sheer volume of cases could have a meaningful effect on collective immunity'],['Noun(S) of Noun(T)'],['Fauci said the sheer volume of...'],
Example_3100,,"['it’ll take decades for you to get out of debt.', 'If you have a bunch of credit cards and you’re only making the minimum payment on them']",,['If you have a bunch of credit cards...'],['get out of debt']
Example_2985,['tied up in the federal bureaucracy'],['There are 24 liquid natural gas projects tied up in the federal bureaucracy.'],['Verb(S) preposition Noun(T)'],['There are 24 liquid natural gas...'],
Example_2237,['Congress churned out'],"['Within days', 'counterterrorism and rebuilding New York and the Pentagon as partisan rifts were ignored.', 'Congress churned out a $40 billion package for defense']",['Subject(T) Verb(S)'],"['Within days, Congress churned out...']",
Example_100,['rise to power'],"[""Hitler's rise to power cannot be attributed to one event"", 'but a mixture of factors including events happening outside Germany...']",['Verb(S) preposition Noun(T)'],"[""Hitler's rise to power cannot be...""]",
Example_5247,,"['Some even compare it to slavery—Grover Norquist', 'asked: If “slavery is when your owner takes 100% of your production… what is the word for 70% expropriation?”', 'commenting on Alexandria Ocasio-Cortez’s plan for a 70 percent marginal tax rate on multi-millionaires']",,['Some even compare it to slavery—Grover...'],
Example_1093,['leading comments'],"['Clinton said', 'and made certain statements', 'I believe that I asked her certain questions', 'in an effort to get as much information as quickly as I could', 'although I do not remember exactly what I said.""', 'Asked about supposedly leading comments he made to Currie about his relationship with Lewinsky', '""When I met with Ms. Currie']",['Adjective(S) Noun(T)'],['Asked about supposedly leading...'],
Example_4568,,"['I know he’s going to have a great career ahead of him', 'but I can’t let him stand in my way.']",,['I know he’s going to have a great...'],
Example_1655,['cure for corruption'],['Reforms a cure for corruption? .'],['Noun(S) preposition Noun(T)'],['Reforms a cure for corruption?...'],
Example_3572,,"['it seemed all his peers knew exactly what their next move was — except for him.', 'When Richard Van Camp graduated high school in Fort Smith', 'N.W.T.']",,['When Richard Van Camp graduated...'],
Example_4804,,"['For parents who want to foster a strong bond between their kids that will support them for life', 'here are some tips:']",,['For parents who want to foster...'],
Example_2698,['plant belongs'],"['cauliflower and broccoli.', 'The plant belongs to the same family as mustard']",['Subject(T) Verb(S)'],['The plant belongs to the same family...'],
Example_5084,['complex structure of society'],"['Might our ubiquitous social media be simultaneously flattening the complex structure of our society', 'at the same time that they broaden it?']",['Noun(S) of Noun(T)'],['Might our ubiquitous social media...'],
Example_2456,['Lawmakers moved closer'],"['a deal that could set up final congressional approval next week.', 'Lawmakers moved closer Thursday to an agreement on a scaled-back bipartisan compromise providing a fresh $10 billion to combat COVID-19']",['Subject(T) Verb(S)'],['Lawmakers moved closer Thursday...'],
Example_2462,['government will be gauged'],"['rather than individual personalities.”', 'In December', 'US Secretary of State Antony Blinken said Israel’s government will be gauged on its “policies and procedures']",['Subject(T) Verb(S)'],"['In December, US Secretary of State...']",
Example_5491,['field of vision'],"['and the upper portion is blurry.', 'She has patches of black in the lower half of her field of vision']",['Noun(S) of Noun(T)'],['She has patches of black in the...'],
Example_3536,['quality of my reading has gone down'],"['""The quality of my reading has gone down.""']",['Subject(T) Verb(S)'],"['""The quality of my reading has...']",
Example_4764,['close relation'],"['may increase their shell-building as pH levels fall', 'as might brittle stars -- a close relation of the starfish -- but at the cost of muscle formation.', 'for example', 'Adult lobsters']",['Adjective(S) Noun(T)'],"['Adult lobsters, for example, may...']",
Example_1939,['overflowing with love'],"['and we expected him to get a job.', 'We were and are overflowing with love and unconditional support without enabling him — i.e. handing him money']",['Verb(S) preposition Noun(T)'],['We were and are overflowing with...'],
Example_3677,['hand of the market'],"['The law of supply and demand', 'and the invisible hand of the market will punish anyone who tries to defy', 'determines the level of wages', 'they say']",['Noun(S) of Noun(T)'],"['The law of supply and demand, they...']",
Example_2544,['US babysits'],['The US babysits the EU in the military world'],['Subject(T) Verb(S)'],['The US babysits the EU in the military...'],
Example_3389,['see his point'],['I can\xa0see his point.'],['Verb(S) Direct Object(T)'],['I can\xa0see his point.'],
Example_5404,['jam-packed news day'],"['Rudy and Russia: The latest jam-packed news day in Trump’s presidency', 'Comey memos']",['Adjective(S) Noun(T)'],"['Comey memos, Rudy and Russia: The...']",
Example_5411,,"['\u200b""Higher education opens doors you can\'t predict."" said Reder.']",,"['\u200b""Higher education opens doors...']",['educaton opens doors']
Example_4678,['ethnic cleansing'],['Secularism bill is ‘ethnic cleansing:’ Quebec mayor'],['Adjective(T) Noun(S)'],['Secularism bill is ‘ethnic cleansing:’...'],
Example_991,"['pillars of ""unalienable"" rights']",['One down of the three pillars of “unalienable” rights that hold up this great country of ours.'],['Noun(S) of Noun(T)'],['One down of the three pillars of...'],
Example_1213,['packed with nostalgia'],"['beautiful cinematography and whimsical characters to which you quickly become attached.', '...it was a show packed with nostalgia']",['Verb(S) preposition Noun(T)'],"['...it was a show packed with nostalgia,...']",
Example_4657,['mentally ill'],['He’s mentally ill'],['Adjective(T) Noun(S)'],['He’s mentally ill'],
Example_5134,['road to a stronger recovery'],"['"" Bartlett said in a Wednesday news release.', '""We are optimistic that these simpler requirements will serve to increase the appeal of Jamaica as a premier destination and keep us moving along the road to a stronger recovery for both the tourism sector and the nation’s economy as a whole']",['Noun(S) preposition Noun(T)'],"['""We are optimistic that these simpler...']",
Example_4989,['Russian-aligned views'],"['She said the content was more likely to reach audiences who already tended to believe in conspiracy theories and ""weird', 'Russian-aligned views.""']",['Adjective(S) Noun(T)'],['She said the content was more likely...'],
Example_4147,['land of opportunity'],"['as every immigrant knows', 'America is a land of opportunity', 'But']",['Noun(S) of Noun(T)'],"['But, as every immigrant knows,...']",
Example_3177,['to see these bills in the light of day'],"[""This is about a government that's so afraid of allowing Canadians to see a bill"", 'to see these bills in the light of day']",['Verb(S) Direct Object(T)'],"[""This is about a government that's...""]",
Example_3152,['wheels of illicit finance'],"['helps oil the wheels of illicit finance through London.', 'from lawyers to accountants and bankers', 'A huge web of enablers']",['Noun(S) of Noun(T)'],"['A huge web of enablers, from lawyers...']",
Example_625,,"['""The trial judge was in the best position to assess the credibility of the witnesses and to determine whether the evidence left room for a reasonable doubt.""']",,"['""The trial judge was in the best...']",
Example_104,,"['but the template for his remarkable rise — and the potential for a hard fall — was laid out in a little-known film masterwork half a century ago.', 'Trump’s rule-smashing romp may have no precedent in the annals of presidential campaigns']",,['Trump’s rule-smashing romp may...'],
Example_1248,['possesses the power'],['Mueller III asserted that Trump possesses the power to pardon people implicated in the Russia probe'],['Verb(S) Direct Object(T)'],['Mueller III asserted that Trump...'],
Example_3510,,"['Earlier this week', 'all three opposition parties supported pushing the bill forward.']",['Verb(S) Direct Object(T)'],"['Earlier this week, all three opposition...']",['pushing the bill forward']
Example_3857,,['Men with strong moral fiber are honest.'],['Adjective(T) Noun(S)'],['Men with strong moral fiber are...'],['moral fiber']
Example_5336,,"[""and this tiny voice inside my head wouldn't let me."", ""I didn't want to believe that""]",,"[""I didn't want to believe that,...""]",
Example_90,,"['his bid to reunite his family is stuck in limbo', 'Five years later']",,"['Five years later, his bid to reunite...']",
Example_2914,,['He breathed new life into that idea.'],,['He breathed new life into that...'],
Example_4202,['gluttonous use'],"[""A tax on gasoline to deter gluttonous use of fuel won't solve this problem""]",['Adjective(S) Noun(T)'],['A tax on gasoline to deter gluttonous...'],
Example_144,['country of ours could be headed'],['Let the utilities spew out toxic gases and take in pure dollars or “this country of ours could be headed into chaos.”'],['Noun(T) copula Adjective(S)'],['Let the utilities spew out toxic...'],
Example_2492,,['...the alleged connection between Kenney and the kamikaze campaign could be enough to cause cracks in the foundation of the UCP.'],,['...the alleged connection between...'],
Example_2944,['ideology fed'],['The Fenians’ ideology fed on republican animus against the Canadian ties to the Crown.'],['Subject(T) Verb(S)'],['The Fenians’ ideology fed on republican...'],
Example_2346,['Welfare traps'],['Welfare traps millions of people in poverty and takes a significant social and economic toll on society as a whole'],['Subject(T) Verb(S)'],['Welfare traps millions of people...'],
Example_4169,,"['D-Calif.', 'said Tuesday.', '"" said House Committee on Financial Services chair Maxine Waters', '""Good credit is a gateway to wealth']",,"['""Good credit is a gateway to wealth,""...']",
Example_3407,['wasted knowledge'],"['There’s no such thing as wasted knowledge', 'particularly as the industry is continually evolving and changing.']",['Verb(S) Direct Object(T)'],['There’s no such thing as wasted...'],
Example_1554,['cultivate openness'],['Tips on how to cultivate openness to change.'],['Verb(S) Direct Object(T)'],['Tips on how to cultivate openness...'],
Example_2107,['poverty line'],['What it costs to live above the poverty line in Yukon and N.W.T.'],['Noun(T) Noun(S) Compound'],['What it costs to live above the...'],
Example_279,['climb out of debt'],"['A ""debt snowball"" can help you climb out of debt faster.']",['Verb(S) preposition Noun(T)'],"['A ""debt snowball"" can help you...']",
Example_1125,['community is a family'],"['” Mr. Mallon declared.', '“I want to remind them that their house begins right here and their community is a family']",['Noun(T) copula Noun(S)'],['“I want to remind them that their...'],['their community is a family']
Example_2243,,['Looking ahead to 2019’s fall TV season and changes in the media landscape'],,['Looking ahead to 2019’s fall TV...'],['looking ahead']
Example_4118,['laws are broken'],['Our conflict of interest laws are broken.'],['Noun(T) copula Adjective(S)'],['Our conflict of interest laws are...'],
Example_870,,"[""Circumstances eventually forced us to say goodbye to everything we'd built""]",,['Circumstances eventually forced...'],
Example_2045,,['Cara Delevingne finds her inner\xa0villain\xa0and takes a\xa0dark\xa0turn in Suicide Squad.'],,['Cara Delevingne finds her inner\xa0villain\xa0and...'],
Example_2451,['support rights'],"['Governments Should Support Rights', 'Not Abusive Allies.']",['Verb(S) Direct Object(T)'],"['Governments Should Support Rights,...']",
Example_3836,,"['Critics are calling the UN ""morally bankrupt"" but the UN says it\'s complicated.']",,"['Critics are calling the UN ""morally...']",
Example_5301,,['I misread his intentions.'],,['I misread his intentions.'],
Example_1351,['corruption eroding'],"[""We're building a campaign that's about lifting each other up"", 'taking power back for the people', ""and proving we're stronger than the forces of division and corruption eroding our democracy.""]",['Subject(T) Verb(S)'],"[""We're building a campaign that's...""]",
Example_1833,,['We can say cut the fat at each level of government but that’s not the issue. It’s the funding and how it’s being spent.'],,['We can say cut the fat at each...'],
Example_1064,['mind is tired'],"['Mental Rest – When your mind is tired', 'you make mistakes']",['Noun(T) copula Adjective(S)'],['Mental Rest – When your mind is...'],
Example_925,,['Canada Day plans firmed up.'],,['Canada Day plans firmed up.'],
Example_5351,,"['the 787 is truly a revolutionary plane.', 'for passengers', 'But that’s all behind us and']",,"['But that’s all behind us and, for...']",
Example_5309,['nearing a decision'],['President Joe Biden is nearing a decision on his choice for Federal Reserve chair'],['Verb(S) Direct Object(T)'],['President Joe Biden is nearing...'],
Example_5362,['time flies'],"[""Time flies when you're having fun on holiday"", 'right?']",['Subject(T) Verb(S)'],"[""Time flies when you're having fun...""]",
Example_717,['bureaucratic tyrants'],['This is why we must fight tooth and nail to prevent our free Internet from falling under the rule of bureaucratic tyrants'],['Adjective(T) Noun(S)'],['This is why we must fight tooth...'],
Example_5210,['taxes hurt'],"[""Not all groups agree with the Tax Foundation's assessment that higher and more taxes hurt state businesses""]",['Subject(T) Verb(S)'],['Not all groups agree with the Tax...'],
Example_804,,"['Even friendships between teammates of many years can still be placed in that “new friend” category', 'not on par with the original core group']",,['Even friendships between teammates...'],
Example_1192,,['Wake up!'],,['Wake up!'],
Example_899,['hurts economy'],"[""China's Big Tech sees new wave of job cuts as Covid lockdown hurts economy""]",['Verb(S) Direct Object(T)'],"[""China's Big Tech sees new wave...""]",
Example_4309,['spark happiness'],['Consumers are looking for simple ways to spark happiness these days.'],['Verb(S) Direct Object(T)'],['Consumers are looking for simple...'],
Example_1091,['words guided'],"[""Mr. Brogan's words guided my choice.""]",['Subject(T) Verb(S)'],"[""Mr. Brogan's words guided my c...""]",
Example_4321,['genuine happiness'],"['say their deep bond is due to a lack of jealously over each other and a genuine happiness for their respective achievements.', 'The two', 'who have been friends for over 40 years']",['Adjective(S) Noun(T)'],"['The two, who have been friends...']",
Example_704,['bureaucrats guided'],"[""the Party and state bureaucrats guided China's recovery"", '...after the disasters of the 1958-59 Great Leap Forward. Campaign']",['Subject(T) Verb(S)'],['...after the disasters of the 1958-59...'],
Example_4063,['mother earth'],['The main question that the COVID-19 crisis raises is whether such a severe reprimand by Mother Earth — when it eventually runs its course'],['Noun(T) Noun(S) Compound'],['The main question that the COVID-19...'],
Example_3477,['Biden at the helm'],"['James shares her sons’ hope for a better', 'less divided future with Biden at the helm following his inauguration on Wednesday.']",,['James shares her sons’ hope for...'],
Example_3017,['black hole of poverty'],['Cumulative effect of such policies over time is devastating for the developing countries and pushing the poor into a black-hole of poverty from which they could never get out'],['Noun(S) of Noun(T)'],['Cumulative effect of such policies...'],
Example_4441,,"[""Anticipate a 'push and pull' for some time as countries open up"", 'WHO says.']",,"[""Anticipate a 'push and pull' for...""]",['push and pull']
Example_40,,['Science has no issues with self acceptance. But they do have some medical data that might be tough to swallow.'],,['Science has no issues with self...'],['medical data is tough to swallow']
Example_155,['moving towards a goal'],"['This process is known as self-regulation', 'which is broadly defined as taking action in moving towards a goal and monitoring your progress']",['Verb(S) preposition Noun(T)'],"['This process is known as self-regulation,...']",
Example_1673,['diplomatic war'],['The diplomatic war over Ukrainian grain exports heats up ·'],['Adjective(T) Noun(S)'],['The diplomatic war over Ukrainian...'],
Example_1697,['War on Covid-19'],"['How America Lost the War on Covid-19: It wasn’t because of our culture', 'it was because of our leadership.']",['Noun(S) preposition Noun(T)'],['How America Lost the War on Covid-19:...'],
Example_1914,,"[""They're very close.""]",,"[""They're very close.""]",
Example_3045,,['I Feel Like I’m Treading Water All the Time With My Debt'],,['I Feel Like I’m Treading Water...'],"['treading water, debt']"
Example_2523,['health system collapse'],['Alberta doctors warn of health system collapse as COVID cases climb'],['Subject(T) Verb(S)'],['Alberta doctors warn of health...'],
Example_1802,['muscle of government'],"['We may think of politics as elections', 'but the real muscle of government resides in bureaucrats and bureaucracy.']",['Noun(S) of Noun(T)'],"['We may think of politics as elections,...']",
Example_4725,['wages are rising'],['Wages are rising at their fastest pace in decades.'],['Subject(T) Verb(S)'],['Wages are rising at their fastest...'],
Example_4078,['the clutches of grief'],"['however', 'While in the clutches of grief', 'much less take a shower.', ""you may find that you don't have the energy to even get out of bed""]",['Noun(S) of Noun(T)'],"['While in the clutches of grief,...']",
Example_1693,['battle with Lyme disease'],['Justin Bieber has revealed his\xa0battle\xa0with Lyme\xa0disease\xa0and chronic mononucleosis.'],['Noun(S) preposition Noun(T)'],['Justin Bieber has revealed his\xa0battle\xa0with...'],
Example_1101,,['Try to get your thoughts across better.'],,['Try to get your thoughts across...'],
Example_5235,['tax punishes'],"[""Death tax' punishes success: Opposing view""]",['Subject(T) Verb(S)'],"[""Death tax' punishes success: Opposing...""]",
Example_4852,['rights belong to'],['Product Rights Belong to The Company.'],['Subject(T) Verb(S)'],['Product Rights Belong to The C...'],
Example_1944,['overflow with emotion'],"['Biden', 'on the other hand', 'can\xa0overflow\xa0with\xa0emotion\xa0at even mundane White House events.']",['Verb(S) preposition Noun(T)'],"['Biden, on the other hand, can\xa0overflow\xa0with\xa0emotion\xa0at...']",
Example_2706,['walked him through the material'],['he would spend hours after class in his professors’ offices as they patiently walked him through the material'],['Verb(S) preposition Noun(T)'],['he would spend hours after class...'],
Example_2748,['infested with guns'],['This city is infested with guns.'],['Verb(S) Direct Object(T)'],['This city is infested with gun...'],
Example_5469,['grasp the idea'],['The standoff between President Donald Trump and Democrats in Congress is also casting a harsh light on the Trump administration’s apparent inability to grasp the idea of life without vast personal wealth.'],['Verb(S) Direct Object(T)'],['The standoff between President...'],
Example_3432,['dismantle gun laws'],"['Frankly', 'last month’s Bruen decision gave gun rights organizations a 4-ton wrecking ball to dismantle gun laws that we have known to be unconstitutional since their conception']",['Verb(S) Direct Object(T)'],"['Frankly, last month’s Bruen decision...']",
Example_1173,,['China’s economy is in bad shape and could stay that way for a while'],['Noun(T) copula Noun(S)'],['China’s economy is in bad shape...'],['economy is in bad shape']
Example_2012,,"['""We are asking our government to give us the opportunity to compete on even playing field.""']",,"['""We are asking our government to...']",
Example_4672,,"['""The people of Nova Scotia have a right to government information. The Liberal government lacks transparency if people are stuck for three years without an answer.""']",,"['""The people of Nova Scotia have...']",
Example_4049,['nature fights back'],['How nature fights back against extinction'],['Subject(T) Verb(S)'],['How nature fights back against...'],
Example_1596,,"[""What's holding you back from pursuing your dreams?""]",,"[""What's holding you back from pursuing...""]",
Example_3786,,"['moaning about the emptiness they feel whilst sinking into bottomless mounds of money', 'Drake', 'Justin Bieber – there they are', 'The Weeknd']",['Noun(S) preposition Noun(T)'],"['Drake, The Weeknd, Justin Bieber...']",['mounds of money']
Example_1567,,"[""Only Wayne Gretzky's total of 2"", ""and Jagr — the 44-year-old Florida Panthers forward who has said he can see himself playing until he's 50 — knows the top spot is going to stay far from his reach."", '857 is better than that']",,"[""Only Wayne Gretzky's total of 2,857...""]",['far from his reach']
Example_2095,['headache coming'],['You use these treatments only when you feel a headache coming on.'],['Subject(T) Verb(S)'],['You use these treatments only when...'],
Example_4478,,"['but is mainly interested in putting on a performance for electors prior to a widely rumoured fall election', 'The federal government’s decision to hand-pick which Jews it wants to hear from shows that it is not serious about fighting antisemitism']",,['The federal government’s decision...'],['Metonymy (the federal government = politicians)']
Example_1781,['education shaped'],"['The University of Windsor is a progressive', 'student-centred institution which provides a quality education shaped by community challenges', 'a transitioning world', 'and technological advancements.']",['Subject(T) Verb(S)'],['The University of Windsor is a...'],
Example_4774,['stick together'],"['""But it was good that it was winter. Maybe it gave us a push in the right direction to stick together.""']",['Verb(S) Direct Object(T)'],"['""But it was good that it was winter....']",
Example_540,['built up cash'],"['"" he said.', '""National Oilwell Varco has built up cash rapidly over the past several years']",['Verb(S) preposition Noun(T)'],"['""National Oilwell Varco has built...']",
Example_5502,['wealthy people are parasites'],"[""The US has a homeless problem because many wealthy people are parasites who don't contribute to the economy at all""]",['Noun(T) copula Noun(S)'],['The US has a homeless problem because...'],
Example_3684,,"['The NASD is building sibling markets in London and Tokyo', 'with the idea of linking them to its U.S. market.']",['Adjective(S) Noun(T)'],['The NASD is building sibling markets...'],['sibling market']
Example_1232,,['His actions are beyond my control.'],,['His actions are beyond my cont...'],
Example_2994,,['Mindful Money: How to Overcome the Number-One Enemy of Financial Success: Your Brain'],['Noun(S) of Noun(T)'],['Mindful Money: How to Overcome...'],['enemy of financial success']
Example_2304,['warm international relations'],['Its judgment is being clouded by its otherwise warm international relations with France.'],['Adjective(S) Noun(T)'],['Its judgment is being clouded by...'],
Example_1112,['pointed out the problem'],"['editors added some of that background information to the online version', 'After readers pointed out the problem']",['Verb(S) preposition Noun(T)'],"['After readers pointed out the problem,...']",
Example_3227,"[""This is a paper on Victorian society as described in Dickens' Great Expectations""]",['Moving up the social ladder: The bottom rung vs the top rung'],['Verb(S) preposition Noun(T)'],['Moving up the social ladder: The...'],['moving up the social ladder']
Example_4949,['searching for answers'],['Canadian on no-fly list for decade still searching for answers'],['Verb(S) preposition Noun(T)'],['Canadian on no-fly list for decade...'],
Example_4276,['muscle strength declines'],"['starting at around age 50', 'Muscle strength declines even more rapidly — slipping about 15 percent per decade']",['Subject(T) Verb(S)'],['Muscle strength declines even more...'],
Example_1009,['rights that shield'],"['...the proposal is fraught with serious issues', 'like doing away with the presumption of innocence and subverting the rights that shield Canadians from unreasonable search and seizure.']",['Subject(T) Verb(S)'],['...the proposal is fraught with...'],
Example_4707,['got brains'],"['“He’s got brains', 'and he’s got Donald Trump’s vote.”', 'he’s got guts']",['Verb(S) Direct Object(T)'],"['“He’s got brains, he’s got guts,...']",
Example_4798,['strong relationship'],['Trump on UK: Very strong relationship'],['Adjective(S) Noun(T)'],['Trump on UK: Very strong relat...'],
Example_2870,['supportive friends'],['“I had a lot of resources at my disposal — I had supportive friends and access to therapy — but I still was having such a hard time'],['Adjective(S) Noun(T)'],['“I had a lot of resources at my...'],
